Nombre,Categoría,Dirección,Lat,Lon,Rating,Reseñas,Horarios,Ciudad
Casa de la Moneda,Museo,"Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Cerrado ⋅ Abre a las 8 a.m. del jue,Ibagué
Jardín Botánico Alejandro von Humboldt,Jardín botánico,"Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Cerrado ⋅ Abre a las 8 a.m. del jue,Ibagué
Truchas,Atracción turística,"Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Cerrado ⋅ Abre a las 6 a.m. del jue,Ibagué
Ibagué Tolima,Atracción turística,"La Vega Libertador, Casa #3, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,,Ibagué
El Rincón del Danubio,Atracción turística,"9R9X+PR, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Abierto las 24 horas,Ibagué
Catedral Inmaculada Concepción de ibague,Iglesia,"Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,,Ibagué
Parque Ecoturistico Y Extremo YAGUARE,Parque ecológico,"Vía al Nevado del Tolima, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Cerrado ⋅ Abre a las 11 a.m. del sáb,Ibagué
Centro Recreacional Comfenalco,Centro de recreo,"Carrera 5 calle 37 corner Ed.Comfenalco, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Cerrado ⋅ Abre a las 7:30 a.m. del jue,Ibagué
Parque Temático el Angel Caido,Parque nacional,"Vda. Pastales, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Abierto las 24 horas,Ibagué
Camino Cascada la plata,Atracción turística,"Vía al Nevado del Tolima, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,,Ibagué
Mirador Fiques,Jardín botánico,"Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,,Ibagué
Nevado Del Tolima,Parque nacional,"Vía al Nevado del Tolima, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Abierto las 24 horas,Ibagué
Qawana Reserva Natural,Estancia en granjas,"Martinica parte baja, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,,Ibagué
Comfatolima Lagos Club,Centro de recreo,"Carrera 14 #1531 a 153-263, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Cerrado ⋅ Abre a las 9:30 a.m. del jue,Ibagué
Mirador tesorito,Atracción turística,"Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Abierto ⋅ Cierra a las 10:30 p.m.,Ibagué
"Monumento ""Ibagué""",Atracción turística,"Cra 4 #11-2, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Abierto las 24 horas,Ibagué
Balneario ambala,Atracción turística,"FQ7W+H7, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,Abierto las 24 horas,Ibagué
La Granjita Reserva Natural,Atracción turística,"calle 31 sur, variante #N 7-90, Ibagué, Tolima",4.5556149,-75.6307002,4.7,602,,Ibagué
Atracción cultural Río Magdalena,Atracción turística,"Ibagué, Tolima",4.3197661,-75.3811676,4.7,602,,Ibagué
Finca ecoturística La Primavera Ibague,Zona de senderismo,"FVQP+QV, Ibagué, Tolima",4.3197661,-75.3811676,4.7,602,Cerrado ⋅ Abre a las 7:12 a.m. del jue,Ibagué
Mirador de Calambeo,Atracción turística,"Unnamed Road, Ibagué, Tolima",4.3197661,-75.3811676,4.7,602,,Ibagué
CAIKE,Atracción turística,"VIA, Gualanday, Tolima",4.3197661,-75.3811676,4.7,602,,Ibagué
Reserva Natural GAIA,Reserva natural,"Ibagué, Tolima",4.3197661,-75.3811676,4.7,602,,Ibagué
Iloveibague,Atracción turística,"Ibagué, Tolima",4.3197661,-75.3811676,4.7,602,Abierto las 24 horas,Ibagué
Mirador de la montaña,Atracción turística,"Tamarindo Salado, Ibagué, Tolima",4.3197661,-75.3811676,4.7,602,Abierto ⋅ Cierra a las 11 p.m.,Ibagué
FINCA MATEGUADUA,Atracción turística,"FVVV+9G, Ibagué, Tolima",4.3197661,-75.3811676,4.7,602,,Ibagué
El Silencio,Zona de senderismo,"Ibagué, Tolima",4.59878,-75.6345456,4.7,602,Abierto las 24 horas,Ibagué
Cascada ancon tesorito,Atracción turística,"FQMG+C3, Ibagué, Tolima",4.59878,-75.6345456,4.7,602,,Ibagué
Finca Agroturistica Dulima,Atracción turística,"730019 Vereda Llanitos, Cañón del Combeima, Vía al Nevado del Tolima, Ibagué, Tolima",4.59878,-75.6345456,4.7,602,Cerrado ⋅ Abre a las 9 a.m. del jue,Ibagué
Monumento a la Bambuquera,Mirador,"Av. Guabinal #79-147, Ibagué, Tolima",4.59878,-75.6345456,4.7,602,Abierto las 24 horas,Ibagué
Tirolesa Parque Caiké,Atracción turística,"8W9F+6Q, Ibagué, Tolima",4.3180965,-75.3804802,4.7,602,Cerrado ⋅ Abre a las 9:30 a.m. del jue,Ibagué
Playa Hawai,,"Kilómetro 22 Bogotá, Vía a, Ibagué, Tolima",4.3180965,-75.3804802,4.7,602,,Ibagué
Finca agroturistica Bellavista,Atracción turística,"Ibagué, Tolima",4.5287781,-75.6056879,4.7,602,,Ibagué
Parque San Bernardo,Parque,"San Bernardo, Ibagué, Tolima",4.4964294,-75.3800475,4.7,602,Abierto las 24 horas,Ibagué
FINCA LA RIVERA,,"Vía al Nevado del Tolima #Km 21, Ibagué, Cañón del Combeima, Ibagué, Tolima",4.5770486,-75.6357025,4.7,602,,Ibagué
Transmisiones Ecos de Combeima,,"Vía al Nevado del Tolima #Km 21, Ibagué, Cañón del Combeima, Ibagué, Tolima",4.5770486,-75.6357025,4.7,602,,Ibagué
"Laguna El Encanto, Nevado del Tolima",Parque nacional,"Anzoategui, Anzoátegui, Tolima",4.5770486,-75.6357025,4.7,602,Abierto las 24 horas,Ibagué
Finca La Palma,Atracción turística,"Ibagué, Tolima",4.5770486,-75.6357025,4.7,602,,Ibagué
Finca Ecoturistica San Javier,Reserva natural,"Via Vda. Chucuni, Ibagué, Tolima",4.4622726,-75.356467,4.7,602,Cerrado ⋅ Abre a las 10 a.m. del jue,Ibagué
Mirador la gloria,Atracción turística,"Vía a, San Juan de La China, Ibagué, Tolima",4.4622726,-75.356467,4.7,602,Abierto las 24 horas,Ibagué
Finca Nanyanua,,"Pastales, Ibagué, Tolima",4.5043989,-75.613047,4.7,602,,Ibagué
Reserva Romerales Refugio el Japón,Atracción turística,"JJWH+8Q, Bomerales, Ibagué, Tolima",4.5043989,-75.613047,4.7,602,,Ibagué
PARQUE ECOTURISTICO LA PLATA,Parque ecológico,"vereda la plata el brillante, corregimiento pastales, Ibagué, Tolima",4.5043989,-75.613047,4.7,602,Cerrado ⋅ Abre a las 9 a.m. del jue,Ibagué
Lago polferbiyon,Atracción turística,"CVXQ+85, Ibagué, Tolima",4.5043989,-75.613047,4.7,602,,Ibagué
Los termales el Machín,Atracción turística,"FJF6+VJ, Ibagué, Tolima",4.5043989,-75.613047,4.7,602,,Ibagué
Villa Restrepo,Atracción turística,"Vía al Nevado del Tolima, Villarestrepo, Villa Restrepo, Ibagué, Tolima",4.5043989,-75.613047,4.7,602,,Ibagué
Finca el Triunfo,Atracción turística,"GW7G+QC, Ibagué, Tolima",4.5145,-75.3788207,4.7,602,,Ibagué
Finca La Palestina,Atracción turística,"GW57+Q5, Ibagué, Tolima",4.5145,-75.3788207,4.7,602,,Ibagué
Mural Aves del Tolima,Atracción turística,"Tv. 3ª, Ibagué, Tolima",4.5145,-75.3788207,4.7,602,,Ibagué
Grand Prix VR,Atracción turística,"Ibagué, Tolima",4.5215377,-75.6154143,4.7,602,Cerrado ⋅ Abre a las 5 a.m. del vie,Ibagué
Balneario el tesoro,Atracción turística,"La Martinica, Ibagué, Tolima",4.5215377,-75.6154143,4.7,602,,Ibagué
La Leona (parte alta) - Alto de Toche,Atracción turística,"Ibagué, Tolima",4.5215377,-75.6154143,4.7,602,,Ibagué
Río San Bernardo balnearios,Atracción turística,"FWXC+HG, Ibagué, Tolima",4.4989184,-75.3835957,4.7,602,,Ibagué
Foto Juntas,Atracción turística,"Ibagué, Tolima",4.5554915,-75.6301831,4.7,602,,Ibagué
ibague,Atracción turística,"Villa del Navado, km 10, Ibagué, Tolima",4.5554915,-75.6301831,4.7,602,,Ibagué
Finca La Comarca de Sagar,Atracción turística,"7XQ8+H8, Ibagué, Tolima",4.2888881,-75.3389993,4.7,602,,Ibagué
Cascadas del Secreto,Atracción turística,"7XQ8+H8, Ibagué, Tolima",4.2888881,-75.3389993,4.7,602,,Ibagué
Estadero doña Barbara,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Mirador Sueño Azul ️,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
CENTRO ASOCIATIVO Y SOLIDARIO DEL TOLIMA,Atracción turística,"Cl. 20 #5a-2 a 5a-8, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Cascada Quebrada Los Alpes,Atracción turística,"HMJP+XQ, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Letrero Ibague,Atracción turística,"Cl. 20 #1-164 1-94 a, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas,Ibagué
Centro Cultural Coral Ciudad Musical,Atracción turística,"Cl. 10 #6-14, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Río cristal Cemex,Atracción turística,"San Luis-Guamo, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas,Ibagué
Ruta norte al parque de los nevados,Atracción turística,"JM3X+F2, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Casa al revés Tolima,Atracción turística,"Llanitos, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto ⋅ Cierra a las 10 p.m. Actualizado por otros usuarios hace 3 semanas,Ibagué
Villa Onzaga,Atracción turística,"Unnamed Road, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Finca recreacional Don Pedroza,Atracción turística,"FVFP+FX, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Toche,Parque,"Toche, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
La Nube Eterna - Mirador,Atracción turística,"730007, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Cerrado ⋅ Abre a las 9 a.m. del jue Confirmado mediante una llamada telefónica hace 7 días,Ibagué
Mirador El Gallinero 🐓 (By miss xime Ibg),Atracción turística,"Ibague San Bernardo, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas,Ibagué
san jorge ibague,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Alto del Boquerón Ibague,Atracción turística,"CP5C+V6, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Finca peñaliza,Atracción turística,"FPW8+58, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas,Ibagué
Club campestre los palmares,Atracción turística,"Cra. 12 #173, Ibagué, Calubaima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Casa al revés,Atracción turística,"CR99+QP, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Parque Temático Meraki,Agencia de visitas turísticas,"Vda. Bellavista, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Cerrado ⋅ Abre a las 10 a.m. del jue,Ibagué
Iguaima espinal tolima,Atracción turística,"Iguaima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
finca veraguas 2 y vellevista,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
La Vega de july,Atracción turística,"CJ9G+W3, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Finca Las Palmas,Atracción turística,"8QFV+GW, Ibagué, Los Cauchos, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Verdad llanitos,Atracción turística,"Vía al Nevado del Tolima, Llanitos, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
Pastales tolima,Atracción turística,"Vía al Nevado del Tolima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
La Mambuquera,Atracción turística,"Vía al Nevado del Tolima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,,Ibagué
ibagué letras,Atracción turística,"Cra 3 #9, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas,Ibagué
Monte de paramillo,Atracción turística,"Cra 3 #9, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas,Ibagué
Parque ecoturistico el gran pijao,Parque temático,"Vereda la troja, Rovira, Tolima",4.2581294,-75.5712803,4.7,602,,Ibagué
Finca Las Nubes,Parque temático,"Vereda la troja, Rovira, Tolima",4.2581294,-75.5712803,4.7,602,,Ibagué
CUATRIMOTOS IBAGUE (CUATRI TOURS),Centro de deportes de aventura,"730017, Ibagué, Tolima",4.2581294,-75.5712803,4.7,602,Cerrado ⋅ Abre a las 8 a.m. del jue,Ibagué
Tienda Mirador Donde Huevo,Centro de deportes de aventura,"730017, Ibagué, Tolima",4.2581294,-75.5712803,4.7,602,Cerrado ⋅ Abre a las 8 a.m. del jue,Ibagué
Hotel Villa de las Palmas,,"Carrera 4 #7-121, Purificación, Tolima",3.8556212,-76.1490893,4.3,155,,turismo_murillo_maps
"Hotel | Posada Del Turista | Murillo, Tolima",Agregar sitio web,"Cl. 4 #48 # 8, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,,turismo_murillo_maps
Hostal Pachanuna,,"Cl. 6 #5-126, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,,turismo_murillo_maps
MS Casa Paraíso Murillo,Agregar sitio web,"Cl. 3 # 3-04, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,,turismo_murillo_maps
Hostal Juan Páramo,Agregar sitio web,"Cl. 3 #9-85, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,,turismo_murillo_maps
Montaña de Fuego,Restaurante argentino,"Kra 10 #4-35, Murillo, Tolima",4.8740555,-75.7834504,,0,Cerrado ⋅ Abre a las 10 a.m. del jue,turismo_murillo_maps
El Tablazo Restaurante,Restaurante,"Cra. 8 #3 - 27, Murillo, Tolima",4.8740555,-75.7834504,,0,,turismo_murillo_maps
Merendero del Cumanday,Restaurante,"Murillo, Tolima",4.8740555,-75.7834504,4.9,136,Abierto ⋅ Cierra a las 10:30 p.m.,turismo_murillo_maps
Casa Fuego - Espacio gastronómico y creativo,Restaurante,"Cl. 3 # 6 - 19, Murillo, Tolima",4.8740555,-75.7834504,4.9,136,,turismo_murillo_maps
EL PAISITA🥘🍗🍳,Restaurante,"Cl. 3 #8-98, Murillo, Tolima",4.8740555,-75.7834504,4.9,136,Cierra pronto ⋅ 8:15 p.m. ⋅ Abre a las 6:45 a.m. del jue,turismo_murillo_maps
Parque Principal de Murillo - Tolima,Parque,"Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Abierto las 24 horas,turismo_murillo_maps
Parque Manuel Murillo Toro,Parque,"a 3a-73,, Cl. 11 #3a1, Ibagué, Tolima",4.8744803,-75.7808814,4.6,98,Abierto las 24 horas,turismo_murillo_maps
Murillo Viajero,Parque,"Murillo, Tolima",4.8744803,-75.7808814,4.6,98,,turismo_murillo_maps
Parque Nacional Natural Los Nevados,Parque nacional,"Carretera Manizales - Bogotá Km. 45, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Cerrado ⋅ Abre a las 8 a.m. del jue,turismo_murillo_maps
Termales de Murillo,Atracción turística,"Cl. 3 #5-54, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Cerrado ⋅ Abre a las 7 a.m. del jue,turismo_murillo_maps
Parque infantil murillo,Parque,"PARQUE PRINCIPAL, Cl. 4 #7-62, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Cerrado ⋅ Abre a las 9 a.m. del jue,turismo_murillo_maps
Cascada El Silencio,Atracción turística,"Cra. 5 #6-272, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,,turismo_murillo_maps
Parque Principal,Parque,"Purificación, Tolima",3.8593367,-75.536923,4.6,98,,turismo_murillo_maps
Termales de la Cabaña,Estancia en granjas,"Vda. La Cabaña, Murillo, Tolima",4.8923578,-75.8715838,4.6,98,,turismo_murillo_maps
Malecón Turístico Purificación,Museo,"Purificación, Tolima",3.8525345,-76.1498153,4.7,534,Abierto las 24 horas,turismo_murillo_maps
Museo Arqueológico y Paleontológico de Prado,Museo arqueológico,"Carrera 3 con calle 8 Barrio, El Diviso, Prado, Tolima",3.8525345,-76.1498153,4.7,534,Cerrado ⋅ Abre a las 8:30 a.m. del jue,turismo_murillo_maps
Museo de Arte del Tolima,Museo de arte,"Cra. 7 #5-93, Ibagué, Tolima",3.8525345,-76.1498153,4.7,534,Cerrado ⋅ Abre a las 10 a.m. del jue,turismo_murillo_maps
Museo del Río Magdalena,Museo,"Calle 10 No. 9-01, Honda, Tolima",5.2020959,-75.9541712,4.7,534,,turismo_murillo_maps
Murillo,Atracción turística,"Mariquita, Tolima",5.2020959,-75.9541712,4.7,534,,turismo_murillo_maps
Arenales Mi Rancho,Museo,"Cunday, Tolima",3.9011219,-76.0294612,4.7,534,,turismo_murillo_maps
Café Salinas,Cafetería,"Murillo, Tolima",4.8735313,-76.3911202,4.7,534,,turismo_murillo_maps
Cascada arcoiris,Atracción turística,"VPFM+XQ, Murillo, Tolima",4.874997,-76.4850254,4.7,534,,turismo_murillo_maps
Murillo Tolima,Atracción turística,"San Luís, Tolima",4.874997,-76.4850254,4.7,534,,turismo_murillo_maps
Termales El Sifón,Atracción turística,"Murillo, Casabianca, Tolima",4.874997,-76.4850254,4.7,534,,turismo_murillo_maps
Mirador,Atracción turística,"Vía al Nevado, Murillo, Tolima",4.874997,-76.4850254,4.7,534,,turismo_murillo_maps
Letras de Murillo,Atracción turística,"Vía al Nevado #7-27, Murillo, Tolima",4.874997,-76.4850254,4.7,534,,turismo_murillo_maps
Mirador de La Laguna Escondida,Mirador,"Cl. 2 #11-47, Murillo, Tolima",4.874997,-76.4850254,4.7,534,,turismo_murillo_maps
Planta de Tiramiento de Agua Potable Murillo,Atracción turística,"Acueducto, Murillo, Prado, Tolima",3.80419,-76.1622924,4.7,534,,turismo_murillo_maps
Laguna del Escondite,Reserva natural,"Murillo, Tolima",4.8687501,-76.3922689,4.7,534,,turismo_murillo_maps
Corregimiento del bosque,Atracción turística,"Murillo, Prado, Tolima",3.80419,-76.1622924,4.7,534,,turismo_murillo_maps
Hotel y Hostal Mi Reino represa Prado Tolima,Agregar sitio web,"Represa De Prado Km 6 dentro de la represa de hidroprado, Visitanos www.hotelmireino.com Reservaciones desde $80.000 pesos, Prado, Tolima",3.7495637,-75.0211118,3.8,94,,Prado
Represa prado,Agregar número de teléfono del lugar,"Represa De Prado, Prado, Tolima",3.7495637,-75.0211118,3.8,94,Cierra pronto ⋅ 9 p.m. ⋅ Abre a las 7 a.m. del jue,Prado
Hotel Villa de las Palmas,,"Carrera 4 #7-121, Purificación, Tolima",3.8556212,-75.0820422,3.8,94,,Prado
Bellavista Isla Del Sol,Agregar sitio web,"Isla del sol, embalse Central hidroeléctrico HIDROPRADO, Prado",3.8556212,-75.0820422,3.8,94,,Prado
Mansion del Lago,,"Represa de Prado, Prado, Purificación, Tolima",3.8556212,-75.0820422,3.8,94,,Prado
Parador restaurante cocobongo,Restaurante,"a 12-102, Cra. 5 #12-24, Prado, Tolima",3.7528642,-74.9665702,4.2,70,Cerrado ⋅ Abre a las 10 a.m. del jue,Prado
Finca El Manial Prado,Restaurante,"Purificacion-Prado, Prado, Tolima",3.782263,-74.9568186,4.2,70,Cerrado ⋅ Abre a las 12 p.m. del vie,Prado
Restaurante El Trapiche,Restaurante,"Prado, Tolima",3.7302048,-74.9137779,4.2,70,Abierto las 24 horas,Prado
Restaurante LA TALANQUERA,Restaurante,"A Hidroprado, Prado, Tolima",3.7501743,-74.954323,4.2,70,Cierra pronto ⋅ 9 p.m. ⋅ Abre a las 8 a.m. del jue,Prado
Parque Principal De Prado,Parque,"Cra. 6 #1075, Prado, Tolima",3.7507367,-74.9678726,4.3,818,,Prado
IMA PRADO ECO PARK,Parque temático,"Via, Represa De Prado, Prado, Tolima",3.7507367,-74.9678726,4.3,818,,Prado
Cascada Del Amor,Jardín,"Prado, Tolima",3.7122008,-74.909811,4.3,818,,Prado
Hidroprado,Parque infantil,"Represa De Prado, Prado, Tolima",3.7515286,-74.9653902,4.3,818,Abierto las 24 horas,Prado
